gbifid	datasetkey	occurrenceid	kingdom	phylum	class	order	family	genus	species	infraspecificepithet	taxonrank	scientificname	countrycode	locality	publishingorgkey	decimallatitude	decimallongitude	elevation	elevationaccuracy	depth	depthaccuracy	eventdate	day	month	year	taxonkey	specieskey	basisofrecord	institutioncode	collectioncode	catalognumber	recordnumber	identifiedby	rights	rightsholder	recordedby	typestatus	establishmentmeans	lastinterpreted	mediatype	issue
1140816994	15f819bd-6612-4447-854b-14d12ee1022d	http://data.biodiversitydata.nl/Naturalis/specimen/L.3716962	Plantae	Pteridophyta	Polypodiopsida	Polypodiales	Dryopteridaceae	Acrorumohra	Acrorumohra diffracta		SPECIES	Dryopteris diffracta Hayata	VN	"Lam Dong. Lac Doung district, Xa Lat commune, Heaven gate of Bi Doup-Nui Ba national park."	396d5f30-dea9-11db-8ab4-b8a03c50a862	12.0925	108.37639									5653940	4041001	PRESERVED_SPECIMEN	Naturalis	Botany	L.3716962					Werff  HH van der; Gray  B; Hiep  NT; Khang  NS			2015-09-16T19:26Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
1046426387	10791a2e-9980-49b6-b83e-86643d609b02	L.3716962	Plantae	Pteridophyta	Polypodiopsida	Polypodiales	Dryopteridaceae	Acrorumohra	Acrorumohra diffracti		SPECIES	Dryopteris diffracta Hayata	VN		396d5f30-dea9-11db-8ab4-b8a03c50a862	12.0925	108.37639					2009-12-11T01:00Z	11	12	2009	5653940	4041001	PRESERVED_SPECIMEN	Naturalis	Botany	L.3716962					"Werff, HH van der; Gray, B; Hiep, NT; Khang, NS"			2015-04-07T13:33Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
892963738	13b70480-bd69-11dd-b15f-b8a03c50a862		Animalia	Arthropoda	Insecta	Hymenoptera	Formicidae	Aenictus	Aenictus artipus		SPECIES	"Aenictus artipus Wilson, 1964"	TH	Khao Chong Nature Education Centre	66522820-055c-11d8-b84e-b8a03c50a862	7.35	99.46									1317593	1317593	PRESERVED_SPECIMEN	CAS	antweb	casent0281956		R. R. Snelling			Snelling & Sonthichai			2014-06-05T21:36Z		GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_DERIVED_FROM_COORDINATES
865207579	13b70480-bd69-11dd-b15f-b8a03c50a862		Animalia	Arthropoda	Insecta	Hymenoptera	Formicidae	Aenictus	Aenictus artipus		SPECIES	"Aenictus artipus Wilson, 1964"	TH	Khao Chong Nature Education Centre	66522820-055c-11d8-b84e-b8a03c50a862	7.35	99.46									1317593	1317593	PRESERVED_SPECIMEN	CAS	ANTWEB	casent0281956		R. R. Snelling			Snelling & Sonthichai			2015-05-14T00:10Z		GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_DERIVED_FROM_COORDINATES
893245304	13b70480-bd69-11dd-b15f-b8a03c50a862		Animalia	Arthropoda	Insecta	Hymenoptera	Formicidae	Aenictus	Aenictus binghammi		SPECIES	"Aenictus binghami Forel, 1900"	TH	Huay Ko Haeng	66522820-055c-11d8-b84e-b8a03c50a862	18.68	98.78	450.0				1996-07-16T00:00Z	16	7	1996	1317525	1317525	PRESERVED_SPECIMEN	CAS	antweb	lacm ent 142734		R. R. Snelling			Snelling & Sonthichai			2014-06-05T21:55Z		GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_INVALID;COUNTRY_DERIVED_FROM_COORDINATES
865435966	13b70480-bd69-11dd-b15f-b8a03c50a862		Animalia	Arthropoda	Insecta	Hymenoptera	Formicidae	Aenictus	Aenictus binghami		SPECIES	"Aenictus binghami Forel, 1900"	TH	Huay Ko Haeng	66522820-055c-11d8-b84e-b8a03c50a862	18.68	98.78	450.0				1996-07-16T00:00Z	16	7	1996	1317525	1317525	PRESERVED_SPECIMEN	CAS	ANTWEB	lacm ent 142734		R. R. Snelling			Snelling & Sonthichai			2015-05-14T00:25Z		GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_INVALID;COUNTRY_DERIVED_FROM_COORDINATES
1085645459	13b70480-bd69-11dd-b15f-b8a03c50a862		Animalia	Arthropoda	Insecta	Hymenoptera	Formicidae	Aenictus	Aenictus ceylonicus		SPECIES	"Aenictus ceylonicus (Mayr, 1866)"	PG	Wau Gorge	66522820-055c-11d8-b84e-b8a03c50a862	-7.33333	146.717	910.0				1971-01-07T00:00Z	7	1	1971	1317547	1317547	PRESERVED_SPECIMEN	CAS	ANTWEB	anic32-023358		ThreeHouseLetMeIn			"Lowery,B.B."			2015-05-14T00:03Z		GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_DERIVED_FROM_COORDINATES
1085645463	13b70480-bd69-11dd-b15f-b8a03c50a862		Animalia	Arthropoda	Insecta	Hymenoptera	Formicidae	Aenictus	Aenictus ceylonicus		SPECIES	"Aenictus ceylonicus (Mayr, 1866)"	PG	Kokoda (General)	66522820-055c-11d8-b84e-b8a03c50a862	-8.88333	147.733					1972-04-06T00:00Z	6	4	1972	1317547	1317547	PRESERVED_SPECIMEN	CAS	ANTWEB	anic32-023359		ThreeHouseLetMeIn			"Room,P.M."			2015-05-14T00:03Z		GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_DERIVED_FROM_COORDINATES
1085645467	13b70480-bd69-11dd-b15f-b8a03c50a862		Animalia	Arthropoda	Insecta	Hymenoptera	Formicidae	Aenictus	Aenictus ceylonicus		SPECIES	"Aenictus ceylonicus (Mayr, 1866)"	PG	Bulolo	66522820-055c-11d8-b84e-b8a03c50a862	-7.2	146.65	1060.0				1967-12-29T00:00Z	29	12	1967	1317547	1317547	PRESERVED_SPECIMEN	CAS	ANTWEB	anic32-023360		ThreeHouseLetMeIn			"Lowery,B.B."			2015-05-14T00:03Z		GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_DERIVED_FROM_COORDINATES
1085645475	13b70480-bd69-11dd-b15f-b8a03c50a862		Animalia	Arthropoda	Insecta	Hymenoptera	Formicidae	Aenictus	Eenictus ceylonicus		SPECIES	"Aenictus ceylonicus (Mayr, 1866)"	PG	Bulolo (general)	66522820-055c-11d8-b84e-b8a03c50a862	-7.25	146.667					1967-12-28T00:00Z	28	12	1967	1317547	1317547	PRESERVED_SPECIMEN	CAS	ANTWEB	anic32-023362		ThreeHouseLetMeIn			"Lowery,B.B."			2015-05-14T00:03Z		GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_DERIVED_FROM_COORDINATES
